formulation,test_case_id,ligand,target,protein,baseline_log2,ode_log2,scm_log2,baseline_fold,ode_fold,scm_fold
mm,3,Serum,AKT,PDK1,0.06300999101069692,0.7397070604796275,0.06300999101069692,1.0446429972435873,1.6698367437420776,1.0446429972435873
hill,3,Serum,AKT,AKT,3.3333225597803464,2.742824761409243,2.104193119907171,10.079293130165201,6.693796822455694,4.299572195868812
hill,3,Serum,AKT,EGFR,0.04027101764443097,0.5268292999295863,0.04027101764443097,1.0283069812403274,1.4407592677232288,1.0283069812403274
hill,3,Serum,AKT,GSK3,0.5276580181326456,0.912807314102334,0.1659164628490981,1.441587111716167,1.8827054587384169,1.1218785179113877
hill,3,Serum,AKT,MAPK,0.023156986975723548,0.7308866381834553,0.06439874223501652,1.0161807127629185,1.6596587560069407,1.0456490641367968
hill,3,Serum,AKT,MEK,0.033091791966168405,0.1312236318784259,0.4227503878920911,1.0232025692773856,1.09522222782131,1.340480644330678
hill,3,Serum,AKT,mTOR,0.32454111397012597,1.5394473646115325,0.46733400567105554,1.2522660600446724,2.9068313373349506,1.3825522511873034
hill,3,Serum,AKT,PDK1,0.06300999101069692,1.156273571247277,0.06300999101069692,1.0446429972435873,2.228809899956253,1.0446429972435873
mass_action,4,Serum,AKT,AKT,3.301305381247282,3.538214074856895,2.4130341960608344,9.858071065550384,11.617389962204987,5.325932691516157
mass_action,4,Serum,AKT,EGFR,0.0530076653569278,0.38750306764262943,0.0530076653569278,1.037425448621173,1.3081274129391096,1.037425448621173
mass_action,4,Serum,AKT,GSK3,0.39469498953234183,0.6289900376718136,0.2217956119928658,1.3146647881450164,1.5464819958593208,1.1661841436450084
mass_action,4,Serum,AKT,MAPK,0.5156414272419285,0.12991903146049877,0.5681719315043476,1.4296296167718165,1.094232287813016,1.4826436916130583
mass_action,4,Serum,AKT,MEK,0.047441643416314516,0.2320579047352549,0.38832740717942205,1.0334306970905605,1.174509110957245,1.308875075646539
mass_action,4,Serum,AKT,mTOR,0.16864834941215923,0.4003032937876465,0.10474067434675327,1.1240049191176653,1.3197853364311307,1.075301086805244
mass_action,4,Serum,AKT,PDK1,0.15792354354435278,0.5290033561801157,0.15792354354435278,1.1156801946429336,1.4429320435891853,1.1156801946429336
mm,4,Serum,AKT,AKT,3.301305381247282,2.4309131348184185,2.165360120917068,9.858071065550384,5.392346242088324,4.4857838993892765
mm,4,Serum,AKT,EGFR,0.0530076653569278,0.5341742353351382,0.0530076653569278,1.037425448621173,1.4481130514914482,1.037425448621173
mm,4,Serum,AKT,GSK3,0.39469498953234183,0.4927540260919786,0.19492522034214943,1.3146647881450164,1.4071284449309989,1.14466482729528
mm,4,Serum,AKT,MAPK,0.5156414272419285,0.06066879528412805,0.5622474099787795,1.4296296167718165,1.0429491324413458,1.4765676028078534
mm,4,Serum,AKT,MEK,0.047441643416314516,0.4122181472949469,0.5471869200030854,1.0334306970905605,1.3307302431699883,1.461233688208844
mm,4,Serum,AKT,mTOR,0.16864834941215923,0.7619739681903621,0.0172302496459521,1.1240049191176653,1.6958093300178851,1.0120147025411275
mm,4,Serum,AKT,PDK1,0.15792354354435278,0.8346206130132834,0.15792354354435278,1.1156801946429336,1.7833879978096219,1.1156801946429336
hill,4,Serum,AKT,AKT,3.301305381247282,2.7108075828761784,2.072175941374106,9.858071065550384,6.546880214906699,4.205204443502929
hill,4,Serum,AKT,EGFR,0.0530076653569278,0.4335506169282275,0.0530076653569278,1.037425448621173,1.3505533370294227,1.037425448621173
hill,4,Serum,AKT,GSK3,0.39469498953234183,0.7798442855020302,0.03295343424879438,1.3146647881450164,1.716945547678518,1.0231044465419794
hill,4,Serum,AKT,MAPK,0.5156414272419285,0.23840219791725037,0.5568831825012215,1.4296296167718165,1.1796854219001092,1.4710876245379645
hill,4,Serum,AKT,MEK,0.047441643416314516,0.11687378042827978,0.4371002393422372,1.0334306970905605,1.0843825334310389,1.3538803442268423
hill,4,Serum,AKT,mTOR,0.16864834941215923,1.0462579012292474,0.025855457711229657,1.1240049191176653,2.0651662143318523,1.0180831938362804
hill,4,Serum,AKT,PDK1,0.15792354354435278,1.2511871237809329,0.15792354354435278,1.1156801946429336,2.38037211714105,1.1156801946429336
mass_action,5,Insulin,AKT,AKT,2.154306798943866,2.804874855208623,1.8212600166300417,4.451547033539801,6.987976977649372,3.533897062073468
mass_action,5,Insulin,AKT,EGFR,0.013165897035870788,0.12757551619587337,0.013165897035870788,1.0091676724359258,1.092456258674632,1.0091676724359258
mass_action,5,Insulin,AKT,GSK3,0.06635092019858213,0.09812774600914342,0.07440062433845118,1.0470649383931845,1.070383473246973,1.052923502160616
mass_action,5,Insulin,AKT,MAPK,0.1300102467363451,0.09839983731748125,0.3589262360900587,1.0943014735054226,1.070585365883432,1.2824710293088961
mass_action,5,Insulin,AKT,MEK,0.04731024877095358,0.08792358083256469,0.31903550263871816,1.0333365808200943,1.0628393745522935,1.2474962706155717
mass_action,5,Insulin,AKT,mTOR,0.1286208337769147,0.38965094823557345,0.1577624995482474,1.093248094448156,1.3100764000639715,1.1155556613465871
mass_action,5,Insulin,AKT,PDK1,0.09294113178840266,0.19999687999229027,0.09294113178840266,1.0665422603962882,1.1486958707964612,1.0665422603962882
mm,5,Insulin,AKT,AKT,2.154306798943866,1.7994003945186412,1.5928351946822261,4.451547033539801,3.480755298930032,3.016415555446841
mm,5,Insulin,AKT,EGFR,0.013165897035870788,0.2742466856566317,0.013165897035870788,1.0091676724359258,1.2093624463956407,1.0091676724359258
mm,5,Insulin,AKT,GSK3,0.06635092019858213,0.11590285932666095,0.07998034850103097,1.0470649383931845,1.083652999015101,1.057003642613876
mm,5,Insulin,AKT,MAPK,0.1300102467363451,0.1197303140801278,0.3905277534172791,1.0943014735054226,1.0865317359527282,1.3108728475963567
