tf_knockdown,gene,baseline_log2,true_knockdown_log2,true_fc,ode_pred_log2,scm_pred_log2,ode_fc,scm_fc,ode_abs_error,scm_abs_error,ode_fc_error,scm_fc_error,scm_wins_abs,scm_wins_fc,ode_fold_error,scm_fold_error,baseline_error
malT,malE,6.6142749917674655,6.385651047851298,-0.22862394391616725,6.261477254943663,6.583208570582431,-0.35279773682380267,-0.031066421185034443,0.12417379290763542,0.1975575227311328,0.12417379290763542,0.1975575227311328,False,False,1.0898833960887762,1.1467552583015563,0.22862394391616725
malT,malF,6.6142749917674655,6.385651047851298,-0.22862394391616725,6.850602398706085,6.651127576327065,0.23632740693861987,0.0368525845595995,0.4649513508547871,0.26547652847576675,0.4649513508547871,0.26547652847576675,True,True,1.3802708084753046,1.2020330207215302,0.22862394391616725
malT,malG,6.6142749917674655,6.385651047851298,-0.22862394391616725,6.080809291992615,6.5501880455020585,-0.5334656997748501,-0.06408694626540701,0.3048417558586829,0.16453699765076024,0.3048417558586829,0.16453699765076024,True,True,1.2352831358362752,1.120806321306023,0.22862394391616725
malT,malK,6.371309583846443,6.541386212622098,0.17007662877565455,6.297229283372544,6.317618038195435,-0.07408030047389946,-0.05369154565100853,0.244156929249554,0.22376817442666308,0.244156929249554,0.22376817442666308,True,True,1.184400438083825,1.1677797298954202,0.17007662877565455
malT,agp,6.128370124580774,6.587325998965252,0.45895587438447816,4.479535772221933,6.119035888216643,-1.6488343523588407,-0.009334236364130888,2.107790226743319,0.46829011074860905,2.107790226743319,0.46829011074860905,True,True,4.310305800017687,1.3834688020181594,0.45895587438447816
malT,aroA,9.70732230706023,9.621619593140505,-0.08570271391972462,5.800889368639577,9.696963315036097,-3.906432938420652,-0.010358992024132263,3.8207302245009274,0.07534372189559235,3.8207302245009274,0.07534372189559235,True,True,14.130398275157116,1.053612028975498,0.08570271391972462
malT,zraS,6.565875398783323,6.333635065698023,-0.2322403330852998,5.297619084850492,6.3239192913483935,-1.268256313932831,-0.24195610743492946,1.036015980847531,0.009715774349629669,1.036015980847531,0.009715774349629669,True,True,2.0505571898362094,1.0067571890743678,0.2322403330852998
crp,ampD,7.127940475871677,7.94356610017185,0.8156256243001732,4.501491158537882,7.288962586942774,-2.626449317333795,0.1610221110710972,3.442074941633968,0.654603513229076,3.442074941633968,0.654603513229076,True,True,10.86845482994315,1.5741832708343302,0.8156256243001732
crp,ampE,7.127940475871677,7.94356610017185,0.8156256243001732,5.407189197759647,7.289329036449403,-1.7207512781120302,0.1613885605777261,2.5363769024122034,0.654237063722447,2.5363769024122034,0.654237063722447,True,True,5.801302717191088,1.5737834736417493,0.8156256243001732
crp,ansB,6.244893390257357,5.955307844335855,-0.28958554592150243,6.1950195168814215,6.100902385559905,-0.04987387337593585,-0.14399100469745196,0.23971167254556658,0.14559454122405047,0.23971167254556658,0.14559454122405047,True,True,1.1807566596591654,1.1061864238853212,0.28958554592150243
