malK,galM,fis,araB,araF,malE,araH,aceB,araC,galE,araD,ampE,puuC,aspA,araE,cyaA,aldA,ihfA,ascB,malF,aceF,ansB,araA,lacI,lacY,zraS,crp,aceE,malT,ihfB,Fis,lacZ,lacA,aceA,bglB,galK,aceK,dcuB,ampD,araJ,ascF,galT,bglF,modB,agp,argG,galR,malG,araG,aroA,target_gene,intervention_strength,basal
74.22707784999618,59.72455241032814,69.722835827296,46.22110443876038,93.69005693140964,91.50831486691578,23.07718516679646,26.749467222406757,65.95591040449126,67.05560131013515,61.01603552851335,31.584651841601353,89.4325574856153,14.64126836065635,21.879222164893438,49.514942628895234,49.2271429368799,5.826611499035427,32.07591306516661,115.36150177027339,29.557854754777072,66.68266486819473,82.39043263550137,35.41030657352202,49.26274823475646,69.4939579334096,82.77556140713597,30.979683146239026,40.34806908582174,1.817294696794755,45.67926570147726,94.72449377717489,81.28018659298993,94.84267199574441,164.88608688065378,48.663513636454546,42.20826907043319,39.361653386677325,31.800097489053183,64.07703384893952,22.477513213290386,90.54073691840833,104.11415652394169,61.71166902363469,39.41475598372616,45.595369170393425,21.514073004399904,71.0506185985473,194.83500727673555,59.56051685256478,araH,0.2,1.0
74.22707784999618,59.72455241032814,69.722835827296,46.22110443876038,93.69005693140964,91.50831486691578,57.69296291699104,26.749467222406757,65.95591040449126,67.05560131013515,61.01603552851335,31.584651841601353,89.4325574856153,14.64126836065635,21.879222164893438,49.514942628895234,49.2271429368799,5.826611499035427,32.07591306516661,115.36150177027339,29.557854754777072,66.68266486819473,82.39043263550137,35.41030657352202,49.26274823475646,69.4939579334096,82.77556140713597,30.979683146239026,40.34806908582174,1.817294696794755,45.67926570147726,94.72449377717489,81.28018659298993,94.84267199574441,164.88608688065378,48.663513636454546,42.20826907043319,39.361653386677325,31.800097489053183,64.07703384893952,22.477513213290386,90.54073691840833,104.11415652394169,61.71166902363469,39.41475598372616,45.595369170393425,21.514073004399904,71.0506185985473,194.83500727673555,59.56051685256478,araH,0.5,1.0
74.22707784999618,59.72455241032814,69.722835827296,46.22110443876038,93.69005693140964,91.50831486691578,92.30874066718562,26.749467222406757,65.95591040449126,67.05560131013515,61.01603552851335,31.584651841601353,89.4325574856153,14.64126836065635,21.879222164893438,49.514942628895234,49.2271429368799,5.826611499035427,32.07591306516661,115.36150177027339,29.557854754777072,66.68266486819473,82.39043263550137,35.41030657352202,49.26274823475646,69.4939579334096,82.77556140713597,30.979683146239026,40.34806908582174,1.817294696794755,45.67926570147726,94.72449377717489,81.28018659298993,94.84267199574441,164.88608688065378,48.663513636454546,42.20826907043319,39.361653386677325,31.800097489053183,64.07703384893952,22.477513213290386,90.54073691840833,104.11415652394169,61.71166902363469,39.41475598372616,45.595369170393425,21.514073004399904,71.0506185985473,194.83500727673555,59.56051685256478,araH,0.8,1.0
74.22707784999618,59.72455241032814,69.722835827296,46.22110443876038,93.69005693140964,91.50831486691578,115.38592583398201,5.34989344448141,65.95591040449126,67.05560131013515,61.01603552851335,31.584651841601353,89.4325574856153,14.64126836065635,21.879222164893438,49.514942628895234,49.2271429368799,5.826611499035427,32.07591306516661,115.36150177027339,29.557854754777072,66.68266486819473,82.39043263550137,35.41030657352202,49.26274823475646,69.4939579334096,82.77556140713597,30.979683146239026,40.34806908582174,1.817294696794755,45.67926570147726,94.72449377717489,81.28018659298993,94.84267199574441,164.88608688065378,48.663513636454546,42.20826907043319,39.361653386677325,31.800097489053183,64.07703384893952,22.477513213290386,90.54073691840833,104.11415652394169,61.71166902363469,39.41475598372616,45.595369170393425,21.514073004399904,71.0506185985473,194.83500727673555,59.56051685256478,aceB,0.2,1.0
74.22707784999618,59.72455241032814,69.722835827296,46.22110443876038,93.69005693140964,91.50831486691578,115.38592583398201,13.374733611203412,65.95591040449126,67.05560131013515,61.01603552851335,31.584651841601353,89.4325574856153,14.64126836065635,21.879222164893438,49.514942628895234,49.2271429368799,5.826611499035427,32.07591306516661,115.36150177027339,29.557854754777072,66.68266486819473,82.39043263550137,35.41030657352202,49.26274823475646,69.4939579334096,82.77556140713597,30.979683146239026,40.34806908582174,1.817294696794755,45.67926570147726,94.72449377717489,81.28018659298993,94.84267199574441,164.88608688065378,48.663513636454546,42.20826907043319,39.361653386677325,31.800097489053183,64.07703384893952,22.477513213290386,90.54073691840833,104.11415652394169,61.71166902363469,39.41475598372616,45.595369170393425,21.514073004399904,71.0506185985473,194.83500727673555,59.56051685256478,aceB,0.5,1.0
74.22707784999618,59.72455241032814,69.722835827296,46.22110443876038,93.69005693140964,91.50831486691578,115.38592583398201,21.39957377792542,65.95591040449126,67.05560131013515,61.01603552851335,31.584651841601353,89.4325574856153,14.64126836065635,21.879222164893438,49.514942628895234,49.2271429368799,5.826611499035427,32.07591306516661,115.36150177027339,29.557854754777072,66.68266486819473,82.39043263550137,35.41030657352202,49.26274823475646,69.4939579334096,82.77556140713597,30.979683146239026,40.34806908582174,1.817294696794755,45.67926570147726,94.72449377717489,81.28018659298993,94.84267199574441,164.88608688065378,48.663513636454546,42.20826907043319,39.361653386677325,31.800097489053183,64.07703384893952,22.477513213290386,90.54073691840833,104.11415652394169,61.71166902363469,39.41475598372616,45.595369170393425,21.514073004399904,71.0506185985473,194.83500727673555,59.56051685256478,aceB,0.8,1.0
74.2270778499981,59.72455241032985,69.72283582729779,46.14182025980693,93.5624278946096,91.50831486691814,115.24744312626159,26.749467222407436,13.167931014815835,67.05560131013692,60.90858543674164,31.584651841602145,89.43255748561758,14.641268360656719,21.83089512242979,49.514942628896506,49.22714293688114,5.826611499035564,32.07591306516743,115.36150177027639,29.557854754777814,66.68266486819643,82.13667973437359,35.410306573522924,49.26274823475774,69.49395793341137,82.7755614071381,30.97968314623981,40.34806908582275,1.8172946967947965,45.67926570147842,94.72449377717737,81.28018659299207,94.84267199574683,164.88608688065804,48.663513636455896,42.20826907043426,39.36165338667831,31.800097489053982,63.952638432809785,22.477513213290955,90.54073691841076,104.11415652394436,61.71166902363626,39.41475598372716,45.59536917039459,21.514073004400483,71.05061859854915,194.32155093568247,59.560516852566295,araC,0.2,1.0
74.2270778499979,59.724552410329636,69.72283582729757,46.21117661104425,93.67407544423753,91.50831486691786,115.36858526891588,26.749467222407354,32.97067655657731,67.0556013101367,61.00258081392494,31.58465184160205,89.43255748561732,14.641268360656674,21.873170736248376,49.51494262889636,49.227142936880995,5.826611499035549,32.07591306516733,115.361501770276,29.55785475477773,66.68266486819626,82.35865813624795,35.41030657352282,49.26274823475758,69.49395793341115,82.77556140713786,30.979683146239715,40.34806908582263,1.8172946967947916,45.679265701478286,94.72449377717707,81.28018659299183,94.84267199574653,164.88608688065753,48.66351363645574,42.208269070434135,39.3616533866782,31.800097489053886,64.0614572701526,22.477513213290887,90.54073691841047,104.11415652394403,61.711669023636084,39.41475598372705,45.59536917039444,21.514073004400412,71.05061859854895,194.77071316205627,59.56051685256611,araC,0.5,1.0
74.22707784999785,59.7245524103296,69.72283582729754,46.219242595579466,93.68705979812334,91.5083148669178,115.38267382218865,26.74946722240734,52.76254428943102,67.05560131013665,61.01351226065213,31.58465184160204,89.43255748561727,14.641268360656666,21.878087293148994,49.51494262889632,49.227142936880966,5.826611499035547,32.07591306516731,115.36150177027598,29.557854754777715,66.6826648681962,82.38447371513482,35.410306573522796,49.26274823475755,69.49395793341111,82.7755614071378,30.9796831462397,40.348069085822615,1.817294696794791,45.67926570147826,94.72449377717703,81.28018659299178,94.8426719957465,164.88608688065742,48.66351363645571,42.20826907043411,39.36165338667818,31.80009748905387,64.07411265128913,22.47751321329088,90.54073691841043,104.11415652394398,61.71166902363604,39.41475598372702,45.59536917039442,21.514073004400405,71.0506185985489,194.82294969853925,59.56051685256608,araC,0.8,1.0
74.22707784999618,59.72455241032814,69.722835827296,46.22110443876038,93.69005693140964,91.50831486691578,115.38592583398201,26.749467222406757,65.95591040449126,13.411120262027088,61.01603552851335,31.584651841601353,89.4325574856153,14.64126836065635,21.879222164893438,49.514942628895234,49.2271429368799,5.826611499035427,32.07591306516661,115.36150177027339,29.557854754777072,66.68266486819473,82.39043263550137,35.41030657352202,49.26274823475646,69.4939579334096,82.77556140713597,30.979683146239026,40.34806908582174,1.817294696794755,45.67926570147726,94.72449377717489,81.28018659298993,94.84267199574441,164.88608688065378,48.663513636454546,42.20826907043319,39.361653386677325,31.800097489053183,64.07703384893952,22.477513213290386,90.54073691840833,104.11415652394169,61.71166902363469,39.41475598372616,45.595369170393425,21.514073004399904,71.0506185985473,194.83500727673555,59.56051685256478,galE,0.2,1.0
74.22707784999618,59.72455241032814,69.722835827296,46.22110443876038,93.69005693140964,91.50831486691578,115.38592583398201,26.749467222406757,65.95591040449126,33.527800655067615,61.01603552851335,31.584651841601353,89.4325574856153,14.64126836065635,21.879222164893438,49.514942628895234,49.2271429368799,5.826611499035427,32.07591306516661,115.36150177027339,29.557854754777072,66.68266486819473,82.39043263550137,35.41030657352202,49.26274823475646,69.4939579334096,82.77556140713597,30.979683146239026,40.34806908582174,1.817294696794755,45.67926570147726,94.72449377717489,81.28018659298993,94.84267199574441,164.88608688065378,48.663513636454546,42.20826907043319,39.361653386677325,31.800097489053183,64.07703384893952,22.477513213290386,90.54073691840833,104.11415652394169,61.71166902363469,39.41475598372616,45.595369170393425,21.514073004399904,71.0506185985473,194.83500727673555,59.56051685256478,galE,0.5,1.0
74.22707784999618,59.72455241032814,69.722835827296,46.22110443876038,93.69005693140964,91.50831486691578,115.38592583398201,26.749467222406757,65.95591040449126,53.64448104810813,61.01603552851335,31.584651841601353,89.4325574856153,14.64126836065635,21.879222164893438,49.514942628895234,49.2271429368799,5.826611499035427,32.07591306516661,115.36150177027339,29.557854754777072,66.68266486819473,82.39043263550137,35.41030657352202,49.26274823475646,69.4939579334096,82.77556140713597,30.979683146239026,40.34806908582174,1.817294696794755,45.67926570147726,94.72449377717489,81.28018659298993,94.84267199574441,164.88608688065378,48.663513636454546,42.20826907043319,39.361653386677325,31.800097489053183,64.07703384893952,22.477513213290386,90.54073691840833,104.11415652394169,61.71166902363469,39.41475598372616,45.595369170393425,21.514073004399904,71.0506185985473,194.83500727673555,59.56051685256478,galE,0.8,1.0
